city,lat,lng,country,iso2,admin,capital,population,population_proper
Nangandao,35.19033,113.80151,China,CN,Henan,minor,,
Bishui,32.717861,113.311672,China,CN,Henan,minor,,
Biyang,29.928851,117.946378,China,CN,Anhui,minor,,
Kulun,42.730556,121.775556,China,CN,Inner Mongolia,minor,,
Changping,28.207833,103.85499,China,CN,Yunnan,minor,,
Moshiyi,27.827702,103.72828,China,CN,Yunnan,minor,,
Jingpeng,43.25,117.516667,China,CN,Inner Mongolia,minor,,
Jingping,39.52,112.283889,China,CN,Shanxi,minor,,
Qian’an,44.993243,124.058109,China,CN,Jilin,minor,,
Xinzhai,23.72048,117.148662,China,CN,Fujian,minor,,
Xujiang,26.839445,116.32011,China,CN,Jiangxi,minor,,
Chengbei,40.223033,116.245838,China,CN,Beijing,minor,,
Lindian,47.182583,124.867727,China,CN,Heilongjiang,minor,,
Yopurga,39.23938,76.764317,China,CN,Xinjiang,minor,,
Ngamring,29.233333,87.166667,China,CN,Tibet,minor,,
Domartang,30.93902,94.689083,China,CN,Tibet,minor,,
Yiwu,29.315056,120.076764,China,CN,Zhejiang,minor,,
Taizhou,28.662658,121.433117,China,CN,Zhejiang,minor,,
Haimen,28.68074,121.424075,China,CN,Zhejiang,minor,,
Chengxiang,31.398604,109.622843,China,CN,Chongqing,minor,,
Jiyuanlu,34.8225,113.267222,China,CN,Henan,minor,,
Shangjie,25.671058,99.980246,China,CN,Yunnan,minor,,
Xinjie,28.148531,103.966575,China,CN,Yunnan,minor,,
Qabqa,36.281389,100.613056,China,CN,Qinghai,minor,,
Wuhu,31.337275,118.373509,China,CN,Anhui,minor,,
Wuhe Chengguanzhen,33.1386,117.865817,China,CN,Anhui,minor,,
Jinniu,25.800617,100.574348,China,CN,Yunnan,minor,,
Yinla,29.577302,94.483014,China,CN,Tibet,minor,,
Jinchang,38.498084,112.923603,China,CN,Shanxi,minor,,
Dingxi,35.570882,104.623027,China,CN,Gansu,minor,,
Dingtao,35.074357,115.565815,China,CN,Shandong,minor,,
Nuojiang,31.915617,107.24273,China,CN,Sichuan,minor,,
Zhouqu Chengguanzhen,33.784167,104.362778,China,CN,Gansu,minor,,
Chizhou,30.661338,117.477833,China,CN,Anhui,minor,,
Huili Chengguanzhen,26.662557,102.243916,China,CN,Sichuan,minor,,
Lugu,39.896719,116.220365,China,CN,Beijing,minor,,
Fucheng,37.869132,116.150577,China,CN,Hebei,minor,,
Dongning,44.062188,131.120752,China,CN,Heilongjiang,minor,,
Xiayi Chengguanzhen,34.236803,116.116076,China,CN,Henan,minor,,
Mazhang,21.275737,110.322116,China,CN,Guangdong,minor,,
Gangu Chengguanzhen,34.735642,105.32632,China,CN,Gansu,minor,,
Hongmiao,32.224835,118.919748,China,CN,Jiangsu,minor,,
Xiqu,26.605659,101.598282,China,CN,Sichuan,minor,,
Shilu,19.259838,109.048838,China,CN,Hainan,minor,,
Lumaka,33.086158,80.367838,China,CN,Tibet,minor,,
Yelin,18.520989,110.039701,China,CN,Hainan,minor,,
Fangting,31.127656,104.166487,China,CN,Sichuan,minor,,
Lecheng,25.113712,113.354076,China,CN,Guangdong,minor,,
Nanlong,31.35333,106.06309,China,CN,Sichuan,minor,,
Mengla,21.468588,101.550688,China,CN,Yunnan,minor,,
Dongchuan,25.47655,101.284676,China,CN,Yunnan,minor,,
Xiaqiaotou,27.185338,100.043374,China,CN,Yunnan,minor,,
Yujiazhai,27.841525,104.824913,China,CN,Yunnan,minor,,
Jing’an,22.210718,113.292182,China,CN,Guangdong,minor,,
Xinmatou,36.818025,115.170473,China,CN,Hebei,minor,,
Qujiang,30.842061,106.967848,China,CN,Sichuan,minor,,
Dongping,36.499,117.996,China,CN,Shandong,minor,,
Gujiang,35.493986,111.553343,China,CN,Shanxi,minor,,
Jiaoxiyakou,26.128289,102.450035,China,CN,Yunnan,minor,,
Nong’an,44.381982,125.168469,China,CN,Jilin,minor,,
Zhaoxian,28.70618,115.736166,China,CN,Jiangxi,minor,,
Zhuangyuan,37.305532,120.827467,China,CN,Shandong,minor,,
Yangquan,37.8575,113.563333,China,CN,Shanxi,minor,,
Huayuan,28.588148,109.475782,China,CN,Hunan,minor,,
Huayuan,31.314221,114.01775,China,CN,Hubei,minor,,
Fangcheng Chengguanzhen,33.253217,113.001198,China,CN,Henan,minor,,
Meicheng,30.634492,116.579796,China,CN,Anhui,minor,,
Beijie,39.22264,106.765794,China,CN,Ningxia,minor,,
Kaihua Chengguanzhen,29.145862,118.409028,China,CN,Zhejiang,minor,,
Chengjiao,35.404948,114.060431,China,CN,Henan,minor,,
Chang’an,25.233333,109.383333,China,CN,Guangxi,minor,,
Beidao,34.568611,105.893333,China,CN,Gansu,minor,,
Shunde,22.800869,113.292084,China,CN,Guangdong,minor,,
Dongcun,38.294416,111.703525,China,CN,Shanxi,minor,,
Xiongshan,27.364391,118.857109,China,CN,Fujian,minor,,
Zhize,21.755404,111.614334,China,CN,Guangdong,minor,,
Xin’an,44.580334,129.625725,China,CN,Heilongjiang,minor,,
Muzeng,26.052406,102.479266,China,CN,Yunnan,minor,,
Liyang,31.717717,118.357309,China,CN,Anhui,minor,,
Yanji,33.9653,116.451,China,CN,Henan,minor,,
Langao Chengguanzhen,32.300278,108.893056,China,CN,Shaanxi,minor,,
Xêgar,28.633333,87.083333,China,CN,Tibet,minor,,
Wenquan,47.183333,119.966667,China,CN,Inner Mongolia,minor,,
Dongping,28.380172,111.205859,China,CN,Hunan,minor,,
Haomen,37.361884,101.587101,China,CN,Qinghai,minor,,
Laojie,26.576957,103.046976,China,CN,Yunnan,minor,,
Gunan,29.0231,106.648,China,CN,Chongqing,minor,,
Xiwanzi,40.971389,115.2725,China,CN,Hebei,minor,,
Daqin Tal,42.887189,120.67466,China,CN,Inner Mongolia,minor,,
Chang’an,29.4718,113.444,China,CN,Hunan,minor,,
Jincheng,39.559123,113.185537,China,CN,Shanxi,minor,,
Liangshi,27.206364,111.737145,China,CN,Hunan,minor,,
Gonghe,25.255753,101.518568,China,CN,Yunnan,minor,,
Weinan,34.503546,109.508908,China,CN,Shaanxi,minor,,
Huanghai,37.488699,121.440377,China,CN,Shandong,minor,,
Yuanquan,40.5,95.8,China,CN,Gansu,minor,,
Changning,31.217388,121.421051,China,CN,Shanghai,minor,,
Yiyang,26.388931,112.379247,China,CN,Hunan,minor,,
Changning,28.577725,104.920873,China,CN,Sichuan,minor,,
Baiyin,36.546963,104.17023,China,CN,Gansu,minor,,
Yaohua,32.121517,118.871696,China,CN,Jiangsu,minor,,
E’erguna,50.223621,120.170919,China,CN,Inner Mongolia,minor,,
Labu,24.25985,109.334145,China,CN,Guangxi,minor,,
Labuleng,35.201249,102.521167,China,CN,Gansu,minor,,
Xincun,27.671783,103.869893,China,CN,Yunnan,minor,,
Pengjia Zhaizi,27.608297,103.5271,China,CN,Yunnan,minor,,
Daihai,40.521111,112.493056,China,CN,Inner Mongolia,minor,,
Peyziwat,39.495536,76.742825,China,CN,Xinjiang,minor,,
Zhijin,26.6668,105.768,China,CN,Guizhou,minor,,
Neixiang Chengguanzhen,33.046667,111.843611,China,CN,Henan,minor,,
Chicheng,40.866667,115.833333,China,CN,Hebei,minor,,
Jianxincun,25.838923,104.119515,China,CN,Yunnan,minor,,
Songyang,34.455278,113.028056,China,CN,Henan,minor,,
Yunling,23.953837,117.336035,China,CN,Fujian,minor,,
Ulan,39.093745,107.980219,China,CN,Inner Mongolia,minor,,
Oljoq,38.179789,107.475061,China,CN,Inner Mongolia,minor,,
Chinggil,46.667248,90.378635,China,CN,Xinjiang,minor,,
Lucheng,22.314945,110.256306,China,CN,Guangxi,minor,,
Yongfu,25.004025,109.981848,China,CN,Guangxi,minor,,
Huilong,31.811111,121.655,China,CN,Jiangsu,minor,,
Kongjiazhuang,40.7525,114.726111,China,CN,Hebei,minor,,
Dongdajie,37.926861,102.6343,China,CN,Gansu,minor,,
Liaoyang,37.079769,113.339857,China,CN,Shanxi,minor,,
Huancuilou,37.500412,122.113976,China,CN,Shandong,minor,,
Gaizhou,40.394167,122.368611,China,CN,Liaoning,minor,,
Kambaxoi,28.3,88.533333,China,CN,Tibet,minor,,
Xincheng,33.541944,114.598333,China,CN,Henan,minor,,
Changning,35.979829,110.82211,China,CN,Shanxi,minor,,
Taocheng,25.312304,118.300563,China,CN,Fujian,minor,,
Dawu Chengguanzhen,31.609648,114.118057,China,CN,Hubei,minor,,
Zoumachang,27.871318,105.201048,China,CN,Yunnan,minor,,
Dingcheng,32.516086,117.659516,China,CN,Anhui,minor,,
Huicheng,29.86925,118.433644,China,CN,Anhui,minor,,
Chaoyang,37.908013,113.150438,China,CN,Shanxi,minor,,
Xincheng Chengguanzhen,24.086127,108.65261,China,CN,Guangxi,minor,,
Taikang,46.861347,124.442001,China,CN,Heilongjiang,minor,,
Fangxian Chengguanzhen,32.055,110.734167,China,CN,Hubei,minor,,
Fangzheng,45.838811,128.827572,China,CN,Heilongjiang,minor,,
Dawa,40.993731,122.068042,China,CN,Liaoning,minor,,
Chongshan,18.782291,109.501303,China,CN,Hainan,minor,,
Lixin Chengguanzhen,33.143276,116.227177,China,CN,Anhui,minor,,
Nandan Chengguanzhen,25.010361,107.55712,China,CN,Guangxi,minor,,
Zhangping,25.299722,117.415,China,CN,Fujian,minor,,
Hekou,30.032324,101.005422,China,CN,Sichuan,minor,,
Tanbei,35.088056,112.939444,China,CN,Henan,minor,,
Huazangsi,36.976525,103.13522,China,CN,Gansu,minor,,
Fanyang,31.084706,118.194254,China,CN,Anhui,minor,,
Fucheng,35.3725,103.705556,China,CN,Gansu,minor,,
Kangle,28.095571,114.450072,China,CN,Jiangxi,minor,,
Qingyang,36.207119,113.417208,China,CN,Shanxi,minor,,
Nierong,32.113087,92.295717,China,CN,Hebei,minor,,
Lishu,45.089785,130.691359,China,CN,Heilongjiang,minor,,
Hengdong Chengguanzhen,27.083333,112.95,China,CN,Hunan,minor,,
Chaoyang,42.662228,126.026301,China,CN,Jilin,minor,,
Shuangxi,28.862954,115.35194,China,CN,Jiangxi,minor,,
Dianyang,24.702606,99.159191,China,CN,Yunnan,minor,,
Burqin,47.70594,86.861312,China,CN,Xinjiang,minor,,
Lishu,43.304722,124.327778,China,CN,Jilin,minor,,
Longxing,35.612973,111.219247,China,CN,Shanxi,minor,,
Zhamog,29.866531,95.759028,China,CN,Tibet,minor,,
Gongjiang,25.957348,115.410016,China,CN,Jiangxi,minor,,
Longgang,40.721464,120.925576,China,CN,Liaoning,minor,,
Shuidong,21.513405,111.001837,China,CN,Guangdong,minor,,
Shuitou,36.973061,111.209095,China,CN,Shanxi,minor,,
Shangtianba,28.03123,103.861831,China,CN,Yunnan,minor,,
Xiyuzhuang,39.166306,117.15679,China,CN,Tianjin,minor,,
Urho,46.11651,85.67769,China,CN,Xinjiang,minor,,
Norbukyungzê,29.166667,89.25,China,CN,Tibet,minor,,
Fuyang,24.834413,111.258021,China,CN,Guangxi,minor,,
Mianyang,33.157033,106.694452,China,CN,Shaanxi,minor,,
Jiannan,31.343552,104.195879,China,CN,Sichuan,minor,,
Bofeng,44.158739,87.974184,China,CN,Xinjiang,minor,,
Zuitou,34.06219,107.312657,China,CN,Shaanxi,minor,,
Zuitai,33.330829,105.604672,China,CN,Gansu,minor,,
Zunhua,40.179167,117.958611,China,CN,Hebei,minor,,
Gucheng,28.848561,121.116095,China,CN,Zhejiang,minor,,
Encheng,22.186594,112.304235,China,CN,Guangdong,minor,,
Ming’antu,42.302778,114.993333,China,CN,Inner Mongolia,minor,,
Xinghe Chengguanzhen,40.875556,113.883889,China,CN,Inner Mongolia,minor,,
Pingdu,27.386296,114.610178,China,CN,Jiangxi,minor,,
Tianyi,41.566667,119.333333,China,CN,Inner Mongolia,minor,,
Nilka,43.783333,82.398333,China,CN,Xinjiang,minor,,
Fushi,29.183822,105.001145,China,CN,Sichuan,minor,,
Yunxing,39.999098,112.697869,China,CN,Shanxi,minor,,
Wenquan,30.849283,115.699098,China,CN,Hubei,minor,,
Xiaoxi,24.352493,117.290708,China,CN,Fujian,minor,,
Hai’an,32.543611,120.45,China,CN,Jiangsu,minor,,
Luozhou,21.605888,110.277049,China,CN,Guangdong,minor,,
Gedong,37.893107,111.255435,China,CN,Shanxi,minor,,
Shangtang,28.155409,120.688201,China,CN,Zhejiang,minor,,
Longxian Chengguanzhen,34.907341,106.849655,China,CN,Shaanxi,minor,,
Huayang,31.951648,119.162837,China,CN,Jiangsu,minor,,
Gangou,26.515029,103.147679,China,CN,Yunnan,minor,,
Luogang,23.177887,113.501038,China,CN,Guangdong,minor,,
Longquan,25.901389,112.211667,China,CN,Hunan,minor,,
Yongbei,26.646227,100.780728,China,CN,Yunnan,minor,,
Jinxi,30.432255,116.292174,China,CN,Anhui,minor,,
Wenhe,32.395234,119.426879,China,CN,Jiangsu,minor,,
Xishan,27.666667,113.5,China,CN,Hunan,minor,,
Meixing,30.999072,102.360185,China,CN,Sichuan,minor,,
Meixi,47.631701,129.13064,China,CN,Heilongjiang,minor,,
Chaoyang,48.886375,130.403228,China,CN,Heilongjiang,minor,,
Wencheng,19.615701,110.748936,China,CN,Hainan,minor,,
Tianfu,37.197232,122.052282,China,CN,Shandong,minor,,
Shiyan,32.6475,110.778056,China,CN,Hubei,minor,,
Longsheng,25.793611,110.009167,China,CN,Guangxi,minor,,
Sanjiaocheng,36.890833,100.999722,China,CN,Qinghai,minor,,
Leidaba,27.957234,104.338717,China,CN,Yunnan,minor,,
Youhao,47.853059,128.835654,China,CN,Heilongjiang,minor,,
Weizhou,31.492673,103.584915,China,CN,Sichuan,minor,,
Tongzilin,26.700387,101.851342,China,CN,Sichuan,minor,,
Jianjun,34.691389,108.139722,China,CN,Shaanxi,minor,,
Nancun,35.4635,112.796,China,CN,Shanxi,minor,,
Dartang,31.933333,94.0,China,CN,Tibet,minor,,
Huquan,39.795376,114.183033,China,CN,Shanxi,minor,,
Jingchuan Chengguanzhen,35.331944,107.361111,China,CN,Gansu,minor,,
Handian,36.045833,113.044167,China,CN,Shanxi,minor,,
Jiancheng,30.390968,104.549121,China,CN,Sichuan,minor,,
Donglan,24.550181,107.382885,China,CN,Guangxi,minor,,
Yushan,31.677479,120.801337,China,CN,Jiangsu,minor,,
Wulingyuan,29.349363,110.544071,China,CN,Hunan,minor,,
Xicheng,23.306022,103.163512,China,CN,Yunnan,minor,,
Chengxi,29.53294,108.765096,China,CN,Chongqing,minor,,
Longzhouwan,29.378611,106.54,China,CN,Chongqing,minor,,
Fuying,28.862601,120.719295,China,CN,Zhejiang,minor,,
Kangping,42.739167,123.349444,China,CN,Liaoning,minor,,
Lop,37.07403,80.182314,China,CN,Xinjiang,minor,,
Laojiezi,26.864611,103.137123,China,CN,Yunnan,minor,,
Jiezi,26.789349,102.991894,China,CN,Yunnan,minor,,
Longnan,24.9,114.783333,China,CN,Jiangxi,minor,,
Guyang,28.613854,109.932528,China,CN,Hunan,minor,,
Chatang,29.242215,91.332169,China,CN,Tibet,minor,,
Yuanling,28.448611,110.402222,China,CN,Hunan,minor,,
Dashiqiao,40.637318,122.502508,China,CN,Liaoning,minor,,
Mingren,45.593163,122.818792,China,CN,Jilin,minor,,
Sangpi,28.93391,99.799907,China,CN,Sichuan,minor,,
Toqsu,41.550278,82.616667,China,CN,Xinjiang,minor,,
Jincheng,28.266484,103.568381,China,CN,Sichuan,minor,,
Xinjie,27.704335,103.380366,China,CN,Yunnan,minor,,
Hongshan,47.975798,129.021989,China,CN,Heilongjiang,minor,,
Xinan,23.154455,112.89344,China,CN,Guangdong,minor,,
Genhe,50.783333,121.516667,China,CN,Inner Mongolia,minor,,
Chaigoubu,40.667778,114.411389,China,CN,Hebei,minor,,
Xing’an,25.61964,110.642482,China,CN,Guangxi,minor,,
Dongta,38.081401,106.34444,China,CN,Ningxia,minor,,
Daliyuan,27.183708,103.486416,China,CN,Yunnan,minor,,
Machali,34.933333,98.233333,China,CN,Qinghai,minor,,
Huayuan,33.468803,114.873144,China,CN,Henan,minor,,
Huolu,38.080556,114.296111,China,CN,Hebei,minor,,
Shuangcheng,27.24,119.894444,China,CN,Fujian,minor,,
Bainang,29.109,89.2589,China,CN,Tibet,minor,,
Sanjiang,31.348135,118.361315,China,CN,Anhui,minor,,
Gongcheng,24.833333,110.816667,China,CN,Guangxi,minor,,
Zhuyang,30.736741,107.201155,China,CN,Sichuan,minor,,
Xingfeng,39.729652,116.336608,China,CN,Beijing,minor,,
Shengli,40.118179,116.642949,China,CN,Beijing,minor,,
Beiyuan,39.903616,116.64667,China,CN,Beijing,minor,,
Gongchen,39.727956,116.137555,China,CN,Beijing,minor,,
Gulou,40.369972,116.83352,China,CN,Beijing,minor,,
Binhe,40.133467,117.108519,China,CN,Beijing,minor,,
Qusum,29.06574,92.193042,China,CN,Tibet,minor,,
Linping,30.4225,120.297222,China,CN,Zhejiang,minor,,
Jishi,35.84613,102.48171,China,CN,Qinghai,minor,,
Changpu,26.575844,110.107854,China,CN,Hunan,minor,,
Huaiyang Chengguanzhen,33.733333,114.883333,China,CN,Henan,minor,,
Huaiyuan Chengguanzhen,32.958933,117.165658,China,CN,Anhui,minor,,
Sunwu,49.417489,127.315503,China,CN,Heilongjiang,minor,,
Yaodu,30.1,117.016667,China,CN,Anhui,minor,,
Xiangyang,26.759912,103.253947,China,CN,Yunnan,minor,,
Jiecun,27.224369,102.92283,China,CN,Yunnan,minor,,
Pingquan,41.0025,118.684167,China,CN,Hebei,minor,,
Zhifang,30.35,114.316667,China,CN,Hubei,minor,,
Chengxiang,28.552621,102.168201,China,CN,Sichuan,minor,,
Bayan Huxu,45.15,121.4,China,CN,Inner Mongolia,minor,,
Topterek,47.434029,85.871134,China,CN,Xinjiang,minor,,
Chengzhong,22.168236,107.007296,China,CN,Guangxi,minor,,
Zhanqian,46.800109,130.375466,China,CN,Heilongjiang,minor,,
Qiaonan,46.803609,130.358047,China,CN,Heilongjiang,minor,,
Enle,23.960493,101.082649,China,CN,Yunnan,minor,,
Enjiang,27.321775,115.429249,China,CN,Jiangxi,minor,,
Jinzhu,29.041863,100.294784,China,CN,Sichuan,minor,,
Xagmakajor,31.4944,82.3324,China,CN,Tibet,minor,,
Dongjie,26.088225,119.294489,China,CN,Fujian,minor,,
Qagan Us,36.397194,98.012224,China,CN,Qinghai,minor,,
Hengshui,25.7,114.316667,China,CN,Jiangxi,minor,,
Guanshan,37.8081,113.597,China,CN,Shanxi,minor,,
Pingdingbu,41.665278,115.697778,China,CN,Hebei,minor,,
Maoming,21.65,110.9,China,CN,Guangdong,minor,,
Jinyuan,37.726944,112.470833,China,CN,Shanxi,minor,,
Gangba,28.2166,88.4743,China,CN,Tibet,minor,,
Yuquan,40.44259,113.974422,China,CN,Shanxi,minor,,
Tianzhou,23.778613,106.897179,China,CN,Guangxi,minor,,
Fuji,29.148188,105.373913,China,CN,Sichuan,minor,,
Hailin,44.571486,129.385387,China,CN,Heilongjiang,minor,,
Lanjiang,29.215111,119.461214,China,CN,Zhejiang,minor,,
Sanchahe,44.963063,126.015319,China,CN,Jilin,minor,,
Nanjian,25.048011,100.532235,China,CN,Yunnan,minor,,
Nanjiang,32.35389,106.83238,China,CN,Sichuan,minor,,
Dongzhen,22.379713,110.938854,China,CN,Guangdong,minor,,
Leicheng,20.915577,110.083708,China,CN,Guangdong,minor,,
Gabasumdo,35.258901,100.549944,China,CN,Qinghai,minor,,
Xiangkou,29.3305,107.737,China,CN,Chongqing,minor,,
Chengjiang,26.801709,114.89978,China,CN,Jiangxi,minor,,
Xinhualu,34.396334,113.724662,China,CN,Henan,minor,,
Yongchang Chengguanzhen,38.270532,102.020174,China,CN,Gansu,minor,,
Jiezishang,26.989366,103.344716,China,CN,Yunnan,minor,,
Sanguanzhai,27.107657,103.256575,China,CN,Yunnan,minor,,
Huangmei,30.192347,116.024959,China,CN,Hubei,minor,,
Peicheng,34.736111,116.924722,China,CN,Jiangsu,minor,,
Dongtai,32.852311,120.309472,China,CN,Jiangsu,minor,,
Niupizhai,28.111521,104.381411,China,CN,Yunnan,minor,,
Wuzhong,37.9867,106.201,China,CN,Ningxia,minor,,
Bayan Hure,49.5,119.516667,China,CN,Inner Mongolia,minor,,
Rizhao,35.395793,119.532166,China,CN,Shandong,minor,,
Guangming,28.310197,102.411892,China,CN,Sichuan,minor,,
Jinggan,34.53,108.834167,China,CN,Shaanxi,minor,,
Shengli,37.462708,118.491653,China,CN,Shandong,minor,,
Qitai,41.549444,113.533889,China,CN,Inner Mongolia,minor,,
Kuiju,36.853611,119.390833,China,CN,Shandong,minor,,
Hongqiao,26.768369,112.108136,China,CN,Hunan,minor,,
Baixi,28.699702,104.549173,China,CN,Sichuan,minor,,
Shuanghejiedao,30.374476,106.772655,China,CN,Sichuan,minor,,
Meicheng,26.215278,118.861111,China,CN,Fujian,minor,,
Mêdog,29.313286,95.307414,China,CN,Tibet,minor,,
Jiantang,27.822442,99.769288,China,CN,Yunnan,minor,,
Yunhe,26.55308,100.193823,China,CN,Yunnan,minor,,
Anxiang,29.4,112.15,China,CN,Hunan,minor,,
Guye,39.730543,118.440849,China,CN,Hebei,minor,,
Guyi,25.777778,109.600278,China,CN,Guangxi,minor,,
Guoyang Chengguanzhen,33.505502,116.230795,China,CN,Anhui,minor,,
Jin’an,32.639411,103.596829,China,CN,Sichuan,minor,,
Jinbi,25.708552,101.336794,China,CN,Yunnan,minor,,
Shangba,27.629587,103.304472,China,CN,Yunnan,minor,,
Dabancheng,43.358334,88.320038,China,CN,Xinjiang,minor,,
Gaohe,30.741731,116.842592,China,CN,Anhui,minor,,
Gengma,23.523251,99.378602,China,CN,Yunnan,minor,,
Hoxut,42.258611,86.857778,China,CN,Xinjiang,minor,,
Xianfeng,44.575032,129.602552,China,CN,Heilongjiang,minor,,
Xiangyang,44.587993,129.579772,China,CN,Heilongjiang,minor,,
Xinguan,39.455272,111.530011,China,CN,Shanxi,minor,,
Shimen,25.894787,99.429355,China,CN,Yunnan,minor,,
Shuangzhong,29.742961,116.22426,China,CN,Jiangxi,minor,,
Xiangyang,37.531571,121.393884,China,CN,Shandong,minor,,
Xin Bulag,42.2375,113.836389,China,CN,Inner Mongolia,minor,,
Xiguan,33.866667,115.466667,China,CN,Henan,minor,,
Jinshan,41.033491,110.052046,China,CN,Inner Mongolia,minor,,
Jinrongjie,39.912217,116.356154,China,CN,Beijing,minor,,
Chaowai,39.918119,116.432425,China,CN,Beijing,minor,,
Nan’an,23.031361,112.451076,China,CN,Guangdong,minor,,
Linquan Chengguanzhen,33.085057,115.290231,China,CN,Anhui,minor,,
Qingnian,36.840325,115.711828,China,CN,Shandong,minor,,
Uliastai,45.55,116.833333,China,CN,Inner Mongolia,minor,,
Dong’an,46.594049,125.078779,China,CN,Heilongjiang,minor,,
Fengxian,30.918679,121.456554,China,CN,Shanghai,minor,,
Zequ,35.036606,101.466159,China,CN,Qinghai,minor,,
Qinjiang,26.329938,116.334669,China,CN,Jiangxi,minor,,
Amgalang,48.25,118.2,China,CN,Inner Mongolia,minor,,
Ri’ngoin,29.605,89.005,China,CN,Tibet,minor,,
Xuhui,31.195944,121.44709,China,CN,Shanghai,minor,,
Pingshan,25.519848,102.475807,China,CN,Yunnan,minor,,
Jiuchenggong,34.678684,107.787579,China,CN,Shaanxi,minor,,
Sanma,36.196666,115.076185,China,CN,Hebei,minor,,
Nanchangshan,37.930493,120.729084,China,CN,Shandong,minor,,
Wanghailou,39.159544,117.203384,China,CN,Tianjin,minor,,
Duji,33.997654,116.828403,China,CN,Anhui,minor,,
Niangxi,27.308563,111.431859,China,CN,Hunan,minor,,
Cuijiang,26.263215,116.649909,China,CN,Fujian,minor,,
Nangxian,29.047007,93.087948,China,CN,Tibet,minor,,
Junyang,28.416667,115.366667,China,CN,Jiangxi,minor,,
Yunxian Chengguanzhen,32.831292,110.808749,China,CN,Hubei,minor,,
Aihua,24.416667,100.1,China,CN,Yunnan,minor,,
Xiushui,38.103787,113.38865,China,CN,Shanxi,minor,,
Wutong,30.632875,120.560805,China,CN,Zhejiang,minor,,
Yanta,34.206359,108.952398,China,CN,Shaanxi,minor,,
Zhaosu,43.122778,81.075833,China,CN,Xinjiang,minor,,
Baicheng,41.773889,81.868889,China,CN,Xinjiang,minor,,
Zhengzhou,34.757778,113.648611,China,CN,Henan,admin,,
Fugou Chengguanzhen,34.066667,114.383333,China,CN,Henan,minor,,
Wenping,27.193062,103.5273,China,CN,Yunnan,minor,,
Fuyu,47.79756,124.457309,China,CN,Heilongjiang,minor,,
Daban,43.533333,118.666667,China,CN,Inner Mongolia,minor,,
Tekes,43.190278,81.777778,China,CN,Xinjiang,minor,,
Fengyi,31.684117,103.853818,China,CN,Sichuan,minor,,
Fengyang Fuchengzhen,32.879693,117.544652,China,CN,Anhui,minor,,
Fengyi,28.5537,107.439,China,CN,Guizhou,minor,,
Xianghe,32.090882,118.25001,China,CN,Anhui,minor,,
Shiquanhe,32.501245,80.097577,China,CN,Tibet,minor,,
Yinying,37.936944,113.5575,China,CN,Shanxi,minor,,
Puxi,35.195833,114.685,China,CN,Henan,minor,,
Yong’an,31.020561,109.458713,China,CN,Chongqing,minor,,
Yong’an,25.98,117.364167,China,CN,Fujian,minor,,
Taihe Chengguanzhen,33.165518,115.648859,China,CN,Anhui,minor,,
Meishan,31.729135,115.912409,China,CN,Anhui,minor,,
Mucheng,35.095556,113.39,China,CN,Henan,minor,,
Wenfeng,27.198994,115.119628,China,CN,Jiangxi,minor,,
Yangjiaping,29.505118,106.501347,China,CN,Chongqing,minor,,
Shengli,37.984253,106.196589,China,CN,Ningxia,minor,,
Andongwei,35.100352,119.333439,China,CN,Shandong,minor,,
Jizhou,27.114714,114.979545,China,CN,Jiangxi,minor,,
Hobor,41.27154,112.62663,China,CN,Inner Mongolia,minor,,
Bayan Hot,38.838611,105.668611,China,CN,Inner Mongolia,minor,,
Guangming,45.333333,122.783333,China,CN,Jilin,minor,,
Zijin,33.289167,111.474444,China,CN,Henan,minor,,
Quanzhou,25.944595,111.036395,China,CN,Guangxi,minor,,
Wuma,28.017306,120.665948,China,CN,Zhejiang,minor,,
Helie,31.521403,120.289615,China,CN,Jiangsu,minor,,
Gartog,29.684505,98.594732,China,CN,Tibet,minor,,
Mengjin Chengguanzhen,34.8269,112.431292,China,CN,Henan,minor,,
Lankao Chengguanzhen,34.832939,114.807177,China,CN,Henan,minor,,
Anyang,23.937964,108.097654,China,CN,Guangxi,minor,,
Guyong,26.730833,117.468333,China,CN,Fujian,minor,,
Galutu,38.600864,108.847421,China,CN,Inner Mongolia,minor,,
Aletengxire,39.57993,109.75821,China,CN,Inner Mongolia,minor,,
Yuanshan,24.369588,114.489619,China,CN,Guangdong,minor,,
Hong’an,47.205544,123.625242,China,CN,Heilongjiang,minor,,
Nanjie,38.954617,100.472369,China,CN,Gansu,minor,,
Xingpinglu,36.727518,104.813791,China,CN,Gansu,minor,,
Nanzhou,29.359551,112.402433,China,CN,Hunan,minor,,
Tarrong,29.416667,90.25,China,CN,Tibet,minor,,
Zhangcheng,25.846763,118.936922,China,CN,Fujian,minor,,
Huaicheng,23.919521,112.17629,China,CN,Guangdong,minor,,
Shuangfengqiao,29.71859,106.627117,China,CN,Chongqing,minor,,
Youganning,34.735644,101.611409,China,CN,Qinghai,minor,,
Chujiang,29.5771,111.363,China,CN,Hunan,minor,,
Shilu,31.311687,120.594094,China,CN,Jiangsu,minor,,
Shangpa,26.919478,98.95158,China,CN,Yunnan,minor,,
Ma’anshan,31.685787,118.510078,China,CN,Anhui,minor,,
Qianling,28.711872,109.645969,China,CN,Hunan,minor,,
Qira,37.028472,80.802867,China,CN,Xinjiang,minor,,
Hede,33.772197,120.261756,China,CN,Jiangsu,minor,,
